job_id,job_title,company,domain,location,experience_required,required_skills,job_description
JOB-0001,Mobile App Developer,DevTech Innovations,Mobile Application Development,"Islamabad, PK",Mid Level (2-3 yrs),"JavaScript, Mobile UI/UX Design, State Management (Provider/Bloc/Redux), CI/CD for Mobile, Kotlin, Dart, React Native","Join our mobile engineering team as a Mobile App Developer. You will design scalable client apps, publish apps to app stores, and implement offline features using JavaScript, Mobile UI/UX Design, State Management (Provider/Bloc/Redux), CI/CD for Mobile. Must have strong hands-on proficiency in JavaScript, Mobile UI/UX Design, State Management (Provider/Bloc/Redux), CI/CD for Mobile, Kotlin, Dart, React Native. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0002,Computer Vision Engineer,Quantum Digital,AI & Machine Learning,"London, UK",Associate (1-2 yrs),"LangChain, Natural Language Processing, Computer Vision, Model Optimization, REST APIs, Transformers","Seeking an innovative Computer Vision Engineer to build Generative AI and deep learning workflows. Must have experience with LangChain, Natural Language Processing, Computer Vision, Model Optimization and deploying models via FastAPI. Must have strong hands-on proficiency in LangChain, Natural Language Processing, Computer Vision, Model Optimization, REST APIs, Transformers. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0003,SOC Analyst,InnoWave Solutions,Cybersecurity & Information Security,"Dubai, UAE",Entry Level (0-1 yrs),"Python Scripting, Ethical Hacking, Vulnerability Assessment, Wireshark, Incident Response, SIEM Tools, Cryptography Basics, Linux","We are hiring a vigilant SOC Analyst to monitor security operations, analyze intrusion alerts using Python Scripting, Ethical Hacking, Vulnerability Assessment, Wireshark, and perform vulnerability scans across enterprise systems. Must have strong hands-on proficiency in Python Scripting, Ethical Hacking, Vulnerability Assessment, Wireshark, Incident Response, SIEM Tools, Cryptography Basics, Linux. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0004,React / Node.js Developer,Vanguard Systems,Full Stack & Web Development,Hybrid,Associate (1-2 yrs),"Node.js, TypeScript, Express.js, MongoDB, Tailwind CSS, Redis, SQL, React, Redux","We are seeking a talented React / Node.js Developer to build responsive, robust web applications using Node.js, TypeScript, Express.js, MongoDB. You will design REST APIs and craft smooth user interfaces with modern frameworks. Must have strong hands-on proficiency in Node.js, TypeScript, Express.js, MongoDB, Tailwind CSS, Redis, SQL, React, Redux. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0005,Data Analyst,Pulse Software Studio,Data Science & Analytics,Remote,Associate (1-2 yrs),"NumPy, Spark, Tableau, Airflow, Seaborn, SQL Optimization, Hypothesis Testing, Power BI","As a Data Analyst, you will design ML pipelines using NumPy, Spark, Tableau, Airflow, optimize database queries, and present findings using Looker to executive leadership. Must have strong hands-on proficiency in NumPy, Spark, Tableau, Airflow, Seaborn, SQL Optimization, Hypothesis Testing, Power BI. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0006,Frontend Developer,NexGen AI Labs,Full Stack & Web Development,"Lahore, PK",Mid Level (2-3 yrs),"CI/CD, MongoDB, React, CSS3, TypeScript","Join our agile development team as a Frontend Developer. You will write clean modular code using CI/CD, MongoDB, React, CSS3, write automated tests, and deploy scalable web apps. Must have strong hands-on proficiency in CI/CD, MongoDB, React, CSS3, TypeScript. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0007,Cybersecurity Analyst,Vanguard Systems,Cybersecurity & Information Security,Remote,Mid Level (2-3 yrs),"Cryptography Basics, Python Scripting, Linux, Cloud Security Auditing, Vulnerability Assessment, Network Security, OWASP Top 10, Wireshark, Metasploit","We are hiring a vigilant Cybersecurity Analyst to monitor security operations, analyze intrusion alerts using Cryptography Basics, Python Scripting, Linux, Cloud Security Auditing, and perform vulnerability scans across enterprise systems. Must have strong hands-on proficiency in Cryptography Basics, Python Scripting, Linux, Cloud Security Auditing, Vulnerability Assessment, Network Security, OWASP Top 10, Wireshark, Metasploit. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0008,SOC Analyst,ByteCraft Technologies,Cybersecurity & Information Security,Remote,Entry Level (0-1 yrs),"Vulnerability Assessment, Security Compliance (ISO/NIST), TCP/IP & Firewalls, Cloud Security Auditing, Wireshark, SIEM Tools, Network Security, Linux, Splunk","We are hiring a vigilant SOC Analyst to monitor security operations, analyze intrusion alerts using Vulnerability Assessment, Security Compliance (ISO/NIST), TCP/IP & Firewalls, Cloud Security Auditing, and perform vulnerability scans across enterprise systems. Must have strong hands-on proficiency in Vulnerability Assessment, Security Compliance (ISO/NIST), TCP/IP & Firewalls, Cloud Security Auditing, Wireshark, SIEM Tools, Network Security, Linux, Splunk. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0009,React Native Developer,Pulse Software Studio,Mobile Application Development,"Dubai, UAE",Mid Level (2-3 yrs),"Push Notifications, Dart, Git, Firebase, Offline Storage (SQLite/Hive), Flutter, Kotlin, State Management (Provider/Bloc/Redux), CI/CD for Mobile, Mobile Architecture","Looking for a React Native Developer to lead cross-platform app initiatives. You will develop modern interactive UI layouts with Push Notifications, Dart, Git, Firebase and manage local caching with Bloc State Management. Must have strong hands-on proficiency in Push Notifications, Dart, Git, Firebase, Offline Storage (SQLite/Hive), Flutter, Kotlin, State Management (Provider/Bloc/Redux), CI/CD for Mobile, Mobile Architecture. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0010,Information Security Specialist,DataSphere Analytics,Cybersecurity & Information Security,"Lahore, PK",Mid Level (2-3 yrs),"Splunk, SIEM Tools, Vulnerability Assessment, Cryptography Basics, Python Scripting, Incident Response, TCP/IP & Firewalls","Seeking an energetic Information Security Specialist to conduct threat hunting and pen-testing. Key responsibilities include identifying software vulnerabilities using Splunk, SIEM Tools, Vulnerability Assessment, Cryptography Basics and Splunk. Must have strong hands-on proficiency in Splunk, SIEM Tools, Vulnerability Assessment, Cryptography Basics, Python Scripting, Incident Response, TCP/IP & Firewalls. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0011,Cross-Platform Mobile Engineer,Vanguard Systems,Mobile Application Development,Remote,Entry Level (0-1 yrs),"Native Modules, Git, State Management (Provider/Bloc/Redux), Firebase, Dart, Mobile UI/UX Design, Swift, JavaScript, Mobile Architecture, GraphQL","We are seeking a creative Cross-Platform Mobile Engineer to build high-performance mobile applications using Native Modules, Git, State Management (Provider/Bloc/Redux), Firebase. You will integrate backend REST APIs and ensure seamless 60fps animations. Must have strong hands-on proficiency in Native Modules, Git, State Management (Provider/Bloc/Redux), Firebase, Dart, Mobile UI/UX Design, Swift, JavaScript, Mobile Architecture, GraphQL. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0012,Computer Vision Engineer,ByteCraft Technologies,AI & Machine Learning,Hybrid,Associate (1-2 yrs),"Computer Vision, Python, TensorFlow, Git, Natural Language Processing, Vector Databases, NumPy, Deep Learning","Seeking an innovative Computer Vision Engineer to build Generative AI and deep learning workflows. Must have experience with Computer Vision, Python, TensorFlow, Git and deploying models via Docker. Must have strong hands-on proficiency in Computer Vision, Python, TensorFlow, Git, Natural Language Processing, Vector Databases, NumPy, Deep Learning. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0013,Quantitative Analyst,Krypton Security,Data Science & Analytics,Remote,Mid Level (2-3 yrs),"BigQuery, Exploratory Data Analysis, Power BI, Pandas, Statistical Modeling, Python, Feature Engineering","As a Quantitative Analyst, you will design ML pipelines using BigQuery, Exploratory Data Analysis, Power BI, Pandas, optimize database queries, and present findings using Power BI to executive leadership. Must have strong hands-on proficiency in BigQuery, Exploratory Data Analysis, Power BI, Pandas, Statistical Modeling, Python, Feature Engineering. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0014,Cloud Engineer,Starlight Media Labs,Cloud Computing & DevOps,Hybrid,Mid Level (2-3 yrs),"Bash Scripting, Prometheus, Docker, Infrastructure as Code, Git","Looking for a high-performing Cloud Engineer to automate deployment lifecycles, manage container orchestration using Bash Scripting, Prometheus, Docker, Infrastructure as Code, and ensure 99.9% cloud infrastructure uptime. Must have strong hands-on proficiency in Bash Scripting, Prometheus, Docker, Infrastructure as Code, Git. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0015,Site Reliability Engineer (SRE),Starlight Media Labs,Cloud Computing & DevOps,Remote,Entry Level (0-1 yrs),"Linux, Docker, Networking Basics, GCP, Infrastructure as Code, Git, Kubernetes, CI/CD Pipelines","We are seeking a Site Reliability Engineer (SRE) passionate about automation. You will implement CI/CD pipelines, configure cloud services with Linux, Docker, Networking Basics, GCP, and streamline developer workflows. Must have strong hands-on proficiency in Linux, Docker, Networking Basics, GCP, Infrastructure as Code, Git, Kubernetes, CI/CD Pipelines. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0016,iOS Developer (Swift),DataSphere Analytics,Mobile Application Development,Remote,Mid Level (2-3 yrs),"Git, Dart, Mobile Architecture, Native Modules, React Native, Offline Storage (SQLite/Hive), App Store / Play Store Deployment, Firebase","We are seeking a creative iOS Developer (Swift) to build high-performance mobile applications using Git, Dart, Mobile Architecture, Native Modules. You will integrate backend REST APIs and ensure seamless 60fps animations. Must have strong hands-on proficiency in Git, Dart, Mobile Architecture, Native Modules, React Native, Offline Storage (SQLite/Hive), App Store / Play Store Deployment, Firebase. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0017,Full Stack Developer,DevTech Innovations,Full Stack & Web Development,"London, UK",Associate (1-2 yrs),"GraphQL, Tailwind CSS, CSS3, RESTful APIs, JavaScript, Git, CI/CD, React","We are seeking a talented Full Stack Developer to build responsive, robust web applications using GraphQL, Tailwind CSS, CSS3, RESTful APIs. You will design REST APIs and craft smooth user interfaces with modern frameworks. Must have strong hands-on proficiency in GraphQL, Tailwind CSS, CSS3, RESTful APIs, JavaScript, Git, CI/CD, React. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0018,Full Stack Developer,Starlight Media Labs,Full Stack & Web Development,Hybrid,Associate (1-2 yrs),"CSS3, Tailwind CSS, Node.js, HTML5, React, Git","Looking for a Full Stack Developer skilled in modern web stacks. You will collaborate with product designers, implement state management using Next.js, and develop backend microservices with CSS3, Tailwind CSS, Node.js, HTML5. Must have strong hands-on proficiency in CSS3, Tailwind CSS, Node.js, HTML5, React, Git. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0019,Frontend Developer,InnoWave Solutions,Full Stack & Web Development,Remote,Mid Level (2-3 yrs),"HTML5, Redux, TypeScript, MongoDB, PostgreSQL, Node.js, React, RESTful APIs","Looking for a Frontend Developer skilled in modern web stacks. You will collaborate with product designers, implement state management using Tailwind CSS, and develop backend microservices with HTML5, Redux, TypeScript, MongoDB. Must have strong hands-on proficiency in HTML5, Redux, TypeScript, MongoDB, PostgreSQL, Node.js, React, RESTful APIs. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
