id,type,track,topic,skill,difficulty,question,expected_answer_points,rubric_5,follow_up
Q-TECH-0001,Technical,AI & Machine Learning,Neural Networks & Backpropagation,Deep Learning,Easy,Can you explain how backpropagation and gradient descent work together during neural network training?,Forward pass calculates predictions and loss | Chain rule calculates gradients of loss with respect to weights | Gradient descent updates weights in opposite direction of gradient | Learning rate controls step size,"Clear articulation of forward vs backward pass, mathematical intuition of chain rule, and role of learning rate with potential pitfalls (exploding/vanishing gradients).","How would you diagnose if your neural network is suffering from vanishing gradients, and what architectural fixes would you apply?"
Q-TECH-0002,Technical,AI & Machine Learning,Overfitting & Regularization,Machine Learning,Easy,"What is the difference between L1 (Lasso) and L2 (Ridge) regularization, and when would you choose one over the other?","L1 penalizes absolute value of weights and induces sparsity (feature selection) | L2 penalizes squared magnitude of weights, shrinking weights without zeroing them | L1 is suitable when feature selection is desired; L2 when many collinear features are present","Accurately distinguishes L1 vs L2 mathematical penalties, sparsity mechanics, and provides realistic real-world selection criteria.",What is ElasticNet and in what scenario does it outperform pure Lasso or Ridge?
Q-TECH-0003,Technical,AI & Machine Learning,Transformers & Attention Mechanism,NLP & Transformers,Medium,How does the Self-Attention mechanism in Transformers solve the sequential bottleneck of RNNs and LSTMs?,"Self-attention allows direct comparison of all tokens simultaneously (O(1) sequential path) | Enables massive parallelization across GPU cores during training | Computes Query, Key, Value matrix projections and scaled dot-product attention | Captures long-range dependencies without vanishing gradient across time steps","Explains Q, K, V math (Softmax(QK^T / sqrt(d_k)) * V), parallel computing benefits over recurrence, and positional encodings.",Why is the dot-product divided by the square root of the key dimension (sqrt(d_k))?
Q-TECH-0004,Technical,AI & Machine Learning,Model Evaluation & Imbalanced Data,Data Modeling,Medium,"When working with an imbalanced classification problem (e.g., 99% negative, 1% positive), why is accuracy misleading, and what alternative metrics and techniques would you use?","Accuracy paradox: predicting majority class yields 99% accuracy but 0 utility | Use Precision, Recall, F1-Score, PR-AUC, ROC-AUC | Sampling techniques: SMOTE, random undersampling/oversampling | Class-weighted loss functions (Focal Loss, cost-sensitive learning)","Thoroughly explains precision-recall trade-offs, confusion matrix, threshold tuning, and data/loss-level mitigation strategies.","If false negatives are significantly more costly than false positives (e.g., fraud detection), how would you adjust your decision threshold?"
Q-TECH-0005,Technical,AI & Machine Learning,LLMs & Retrieval-Augmented Generation (RAG),Generative AI,Hard,"Walk me through the architecture of a production-grade RAG pipeline. How do you handle chunking, embedding retrieval, re-ranking, and hallucination reduction?","Document chunking strategies (semantic chunking, sliding window with overlap) | Vector database indexing (HNSW, FAISS, Cosine/Dot similarity) | Bi-encoder dense retrieval followed by Cross-Encoder re-ranking | Prompt grounding with strict context injection and hallucination guardrails (e.g., citations, faithfulness check)","Demonstrates practical production knowledge: chunk overlap trade-offs, vector search limitations, hybrid lexical/semantic search, and hallucination mitigation.",How would you measure the retrieval accuracy (hit rate / MRR) independently of the LLM generation quality?
Q-TECH-0006,Technical,AI & Machine Learning,MLOps & Model Deployment,MLOps,Hard,How do you detect and mitigate Data Drift and Concept Drift in a deployed machine learning service?,"Data drift: P(X) changes while P(Y|X) remains same (e.g., Kolmogorov-Smirnov test, PSI) | Concept drift: P(Y|X) changes (e.g., consumer behavior shifts) | Monitoring metrics: feature distributions, prediction drift, ground truth latency | Mitigation: automated retraining triggers, sliding window training, shadow deployment","Accurately contrasts data vs concept drift, mentions statistical tests (KS-test, Wasserstein distance), and outlines resilient retraining pipelines.",What is the difference between blue/green deployment and canary deployment for a model inference microservice?
Q-TECH-0007,Technical,Full-Stack Web Development,State Management & React Rendering,React.js,Easy,"How does React's Virtual DOM work, and how does React determine when to re-render a component?","Virtual DOM is an in-memory lightweight representation of actual DOM | Reconciliation & Diffing algorithm compares virtual trees | State or props change triggers re-render of component and its subtree | Optimization using React.memo, useMemo, useCallback, and key props","Detailed explanation of reconciliation algorithm, batched updates, shallow comparison of props/state, and common re-render pitfalls.",Why should you never use the array index as a 'key' prop when rendering dynamic lists?
Q-TECH-0008,Technical,Full-Stack Web Development,RESTful API Design & HTTP Protocols,API Development,Easy,"What are the core principles of RESTful architecture, and what is the difference between PUT and PATCH methods?","Statelessness, client-server separation, uniform interface, resource-based URIs | PUT replaces the entire resource representation (idempotent) | PATCH updates partial attributes of the resource | Standard HTTP status codes (200, 201, 204, 400, 401, 404, 500)","Distinguishes idempotency, partial vs full updates, URI naming conventions, and proper status code usage.","What makes an HTTP method 'idempotent', and why is POST not idempotent while PUT and DELETE are?"
Q-TECH-0009,Technical,Full-Stack Web Development,Database Indexing & Query Optimization,PostgreSQL / Databases,Medium,"How does a B-Tree index accelerate database queries, and what are the trade-offs of having too many indexes?","B-Tree index allows logarithmic O(log N) lookup, range scans, and sorting | Without index, database must perform full table scan O(N) | Trade-off: slower write operations (INSERT, UPDATE, DELETE) due to index maintenance | Trade-off: increased disk and memory (RAM buffer pool) consumption","Explains internal balanced tree traversal, write overhead trade-offs, composite index column ordering rule (leftmost prefix rule).","What is an EXPLAIN ANALYZE query plan, and what key metrics do you inspect to find slow queries?"
Q-TECH-0010,Technical,Full-Stack Web Development,Authentication & Session Security,Web Security,Medium,Explain how JWT (JSON Web Token) authentication works versus Server-Side Session authentication. Where should tokens be stored securely on the frontend?,"JWT is stateless, signed cryptographically (Header.Payload.Signature) | Server sessions are stateful, stored in Redis/DB with session ID cookie | JWT stored in localStorage is vulnerable to XSS attacks | Best practice: httpOnly, Secure, SameSite cookies to protect against XSS and CSRF","Clear security trade-offs (XSS vs CSRF), token revocation challenges with stateless JWTs, and secure cookie storage best practices.","If a JWT is stateless and valid for 1 hour, how can an administrator immediately revoke access if a user account is compromised?"
