module_id,title,domain,difficulty_level,prerequisites,duration_hours,skills,rating_avg,description
AIML_101,Python for Artificial Intelligence & ML,AI & Machine Learning,Beginner,None,18,"Python, OOP, NumPy, Vectorization",4.8,Foundational Python programming tailored for data manipulation and AI workflows.
AIML_102,Linear Algebra & Calculus for ML,AI & Machine Learning,Beginner,None,15,"Matrices, Eigenvalues, Gradient Descent, Derivatives",4.6,Essential mathematical foundations powering modern machine learning algorithms.
AIML_201,Supervised & Unsupervised Machine Learning,AI & Machine Learning,Intermediate,"AIML_101,AIML_102",28,"Scikit-Learn, Regression, Classification, Clustering, PCA",4.9,End-to-end predictive modeling using classical machine learning algorithms.
AIML_202,Feature Engineering & Model Validation,AI & Machine Learning,Intermediate,AIML_201,16,"Cross-Validation, Imputation, Encoders, Hyperparameter Tuning",4.7,Techniques for preprocessing tabular data and avoiding data leakage.
AIML_301,Deep Learning & Neural Networks with PyTorch,AI & Machine Learning,Advanced,AIML_201,35,"PyTorch, Backpropagation, CNN, RNN, Loss Functions",4.9,"Deep neural architecture design, GPU training, and computer vision models."
AIML_302,Natural Language Processing & Transformers,AI & Machine Learning,Advanced,AIML_301,30,"Transformers, BERT, Attention Mechanisms, HuggingFace, LLMs",4.8,"Modern sequence modeling, attention mechanisms, and fine-tuning transformer models."
AIML_303,MLOps: Deploying AI Models to Production,AI & Machine Learning,Advanced,AIML_201,22,"Docker, MLflow, FastAPI, Model Monitoring, CI/CD for ML",4.7,"Productionizing machine learning models with APIs, artifact tracking, and monitoring."
DS_101,Data Analysis with Python & Pandas,Data Science & Analytics,Beginner,None,20,"Pandas, NumPy, Data Wrangling, Cleaning",4.8,"Master tabular data structures, aggregations, merges, and data cleaning."
DS_102,Exploratory Data Analysis & Visualization,Data Science & Analytics,Beginner,DS_101,14,"Matplotlib, Seaborn, Plotly, Storytelling",4.7,"Visual exploration of distributions, correlations, and executive charting."
DS_103,SQL for Data Science & Relational Databases,Data Science & Analytics,Beginner,None,16,"SQL, PostgreSQL, Joins, Window Functions, CTEs",4.9,"Complex relational querying, data aggregation, and database design."
DS_201,Applied Statistical Inference & Hypothesis Testing,Data Science & Analytics,Intermediate,"DS_101,DS_103",22,"A/B Testing, p-values, Confidence Intervals, ANOVA, SciPy",4.6,Rigorous statistical analysis for business decision-making and experiment design.
DS_202,Time Series Analysis & Forecasting,Data Science & Analytics,Intermediate,"DS_101,DS_201",20,"ARIMA, Prophet, Trend Decomposition, Seasonality",4.5,"Forecasting temporal data such as sales, user traffic, and financial indices."
DS_301,Big Data Analytics with Apache Spark & PySpark,Data Science & Analytics,Advanced,"DS_101,DS_103",32,"PySpark, RDDs, Spark SQL, Distributed Computing",4.8,Distributed data processing pipelines for multi-gigabyte and terabyte datasets.
DS_302,Interactive BI Dashboards with Power BI & Tableau,Data Science & Analytics,Intermediate,DS_103,18,"Power BI, DAX, Tableau, KPI Dashboards",4.7,Designing high-impact stakeholder dashboards and automated KPI tracking.
WEB_101,"Modern HTML5, Semantic CSS3 & Responsive Design",Full-Stack Web Development,Beginner,None,16,"HTML5, CSS3, Flexbox, CSS Grid, Responsive Design",4.8,"Core building blocks of modern, accessible, and responsive user interfaces."
WEB_102,JavaScript ES6+ & DOM Manipulation,Full-Stack Web Development,Beginner,WEB_101,24,"Async/Await, Promises, Closures, DOM, Fetch API",4.9,"Dynamic web scripting, asynchronous data fetching, and browser events."
WEB_201,Frontend Development with React.js,Full-Stack Web Development,Intermediate,WEB_102,30,"React, Hooks, Component State, Context API, TailwindCSS",4.9,"Single-page application architecture, state management, and component reusability."
WEB_202,Backend Engineering with Node.js & Express,Full-Stack Web Development,Intermediate,WEB_102,26,"Node.js, Express, REST APIs, JWT Auth, Middleware",4.8,"Scalable RESTful API development, authentication mechanisms, and server routing."
WEB_203,Database Integration with MongoDB & Prisma ORM,Full-Stack Web Development,Intermediate,WEB_202,20,"MongoDB, Mongoose, Prisma, Schema Design, Indexing",4.7,"NoSQL and SQL database persistence, schema validation, and aggregation pipelines."
WEB_301,Full-Stack Next.js 14 App Router & Server Components,Full-Stack Web Development,Advanced,"WEB_201,WEB_202",32,"Next.js, SSR, SSG, Server Actions, TypeScript",4.9,Production full-stack Next.js applications with hybrid rendering and SEO optimization.
WEB_302,"Web Security, OAuth2 & GraphQL APIs",Full-Stack Web Development,Advanced,"WEB_202,WEB_203",22,"GraphQL, Apollo, OAuth2, CORS, XSS Prevention, CSRF",4.8,Hardening web apps against vulnerabilities and building flexible GraphQL query interfaces.
MOB_101,Dart Programming & Mobile Architecture,Mobile Application Development,Beginner,None,16,"Dart, OOP, Null Safety, Collections, Asynchronous Dart",4.7,Language foundations for cross-platform Flutter application development.
MOB_201,Flutter UI Foundations & Widget Trees,Mobile Application Development,Intermediate,MOB_101,28,"Flutter, Stateless/Stateful Widgets, Custom Animations, Navigation",4.9,Building pixel-perfect iOS and Android user interfaces with Flutter widgets.
MOB_202,State Management in Flutter (Bloc & Riverpod),Mobile Application Development,Intermediate,MOB_201,24,"Bloc, Riverpod, Provider, Reactive State, StreamControllers",4.8,"Clean state separation, architectural patterns, and reactive UI updates."
MOB_301,Mobile Backend Integration & Firebase Cloud,Mobile Application Development,Intermediate,MOB_201,22,"Firebase Auth, Firestore, Cloud Functions, Push Notifications",4.8,"Realtime synchronization, push notifications, and cloud database integration."
MOB_302,Native Device APIs & App Store Deployment,Mobile Application Development,Advanced,"MOB_202,MOB_301",20,"Camera API, GPS, Local Storage (Hive/SQLite), Play Store, App Store",4.6,"Accessing hardware sensors, offline caching, and release management on app stores."
CLD_101,Linux Systems Administration & Shell Scripting,Cloud Computing & DevOps,Beginner,None,16,"Linux, Bash, Permissions, SSH, Process Management",4.8,"Mastering the terminal, shell automation, and operating system fundamentals."
CLD_102,Networking Fundamentals & Protocols,Cloud Computing & DevOps,Beginner,None,14,"TCP/IP, DNS, HTTP/HTTPS, Subnetting, Firewalls",4.7,Core computer networking principles for cloud architects and sysadmins.
CLD_201,Containerization with Docker & Multi-Stage Builds,Cloud Computing & DevOps,Intermediate,CLD_101,20,"Docker, Docker Compose, Images, Volumes, Multi-stage builds",4.9,"Packaging applications into lightweight, reproducible container environments."
CLD_202,AWS Cloud Foundations & Core Services,Cloud Computing & DevOps,Intermediate,"CLD_102,CLD_201",28,"AWS EC2, S3, RDS, IAM, VPC, CloudWatch",4.9,Architecting resilient and cost-effective infrastructure on Amazon Web Services.
CLD_301,Container Orchestration with Kubernetes (K8s),Cloud Computing & DevOps,Advanced,"CLD_201,CLD_202",32,"Kubernetes, Pods, Deployments, Services, Helm, Ingress",4.8,Managing container clusters at enterprise scale with automated scaling and self-healing.
CLD_302,Infrastructure as Code (Terraform) & CI/CD Pipelines,Cloud Computing & DevOps,Advanced,CLD_202,26,"Terraform, GitHub Actions, GitLab CI, Pipeline Automation",4.9,Automating infrastructure provisioning and continuous delivery pipelines.
SEC_101,Cybersecurity Fundamentals & Threat Landscape,Cybersecurity & Ethical Hacking,Beginner,None,16,"CIA Triad, Malware Types, Phishing, Security Policies",4.7,"Introduction to information security principles, threat modeling, and defense strategies."
SEC_201,Network Security & Packet Analysis with Wireshark,Cybersecurity & Ethical Hacking,Intermediate,"SEC_101,CLD_102",22,"Wireshark, Nmap, Packet Inspection, IDS/IPS, Snort",4.8,"Deep-dive network traffic analysis, port scanning, and intrusion detection systems."
SEC_202,Web Application Penetration Testing (OWASP Top 10),Cybersecurity & Ethical Hacking,Intermediate,"SEC_101,WEB_102",28,"Burp Suite, SQL Injection, XSS, CSRF, IDOR, SSRF",4.9,Hands-on vulnerability assessment and exploitation of web application vulnerabilities.
SEC_301,Applied Cryptography & Public Key Infrastructure,Cybersecurity & Ethical Hacking,Advanced,SEC_101,20,"AES, RSA, ECC, Hash Functions, Digital Signatures, PKI",4.6,"Mathematical principles of modern encryption algorithms, hashing, and key exchange."
SEC_302,Digital Forensics & Incident Response (DFIR),Cybersecurity & Ethical Hacking,Advanced,"SEC_201,CLD_101",26,"Memory Forensics, Volatility, Log Analysis, SIEM (Splunk)",4.8,"Investigating active security breaches, analyzing memory artifacts, and threat hunting."
